,shotgun,no_huddle,ydstogo,yardline_100,play_type,half_seconds_remaining,pass_length,run_location,score_differential,fg_prob,td_prob,ep
6109,1,0,2,5.0,2,756.0,2.0,,3.0,0.5437663682364798,0.3876314753791825,4.0633000516507805
6113,1,1,3,71.0,1,93.0,,2.0,-7.0,0.11347573622396925,0.12079011751597878,0.7008774735476215
6115,1,0,1,66.0,1,37.0,,2.0,-13.0,0.1101149409200155,0.14076516223358035,0.9705840611730526
6117,1,0,7,48.0,2,1278.0,2.0,,-16.0,0.34308100923448565,0.3487845133401526,1.8696301383075349
6123,1,1,2,16.0,1,278.0,,2.0,-16.0,0.4345024404029403,0.3721316489572952,3.5423485304307434
6126,1,0,7,37.0,2,1082.0,2.0,,0.0,0.4168414775603092,0.35947598209801224,2.6432885948298344
6127,1,0,3,42.0,2,780.0,1.0,,-3.0,0.34901817521796386,0.4004074043370669,2.742612248635081
6128,1,0,2,55.0,2,126.0,2.0,,1.0,0.15390585037251275,0.2419202830908351,1.3154439430271705
6130,1,0,6,71.0,2,1643.0,2.0,,-10.0,0.19136109384295602,0.2849402448937139,-0.2080136314849144
6136,1,0,12,44.0,2,769.0,1.0,,-4.0,0.37102653520461415,0.3167958891795459,1.925260978129728
6137,0,0,1,5.0,1,646.0,,3.0,-4.0,0.5054129980126415,0.4255185207997869,4.24625284305302
6139,0,0,5,72.0,1,61.0,,3.0,7.0,0.10289184833568098,0.0987070464707593,0.5256471191485087
6141,1,0,4,69.0,2,1115.0,2.0,,-3.0,0.1991953150562684,0.3211360586693566,0.4064290034379838
6142,1,0,3,53.0,2,1014.0,2.0,,-3.0,0.2885599802132688,0.3898408686597877,2.004103173774748
6144,1,0,12,76.0,2,772.0,1.0,,4.0,0.15976754886319824,0.22370833147539373,-0.7899277273186716
6146,1,1,7,72.0,2,492.0,2.0,,-3.0,0.1548669374853584,0.2332736762837454,-0.04041904162507204
6148,1,0,3,50.0,2,222.0,2.0,,3.0,0.21224161078993065,0.2799091841336044,1.6558659462451513
6150,1,0,3,68.0,2,1467.0,2.0,,-1.0,0.2025933692371489,0.3407646462300791,0.5917126807446653
6151,1,0,12,63.0,2,1337.0,1.0,,-1.0,0.2480604056174697,0.2796158195530605,0.2239952416341908
6153,1,0,1,24.0,2,1036.0,2.0,,6.0,0.4200542024804416,0.469226183750306,4.007933894831597
6154,1,0,10,63.0,2,888.0,2.0,,-9.0,0.240502394318524,0.2865926776846073,0.4489483968535113
6157,1,0,10,29.0,2,23.0,1.0,,-6.0,0.370799855695538,0.15557420279673054,1.982167853579652
6158,1,0,9,45.0,2,1659.0,2.0,,0.0,0.36954744327517264,0.3344401087100788,1.8800885219282133
6159,1,0,5,70.0,2,1444.0,2.0,,-3.0,0.19641542870759912,0.3023068295755835,0.06823051733471219
6161,1,0,8,44.0,2,770.0,2.0,,-3.0,0.3615264069158755,0.3396163659779094,2.1247476873121345
6162,1,0,5,10.0,1,636.0,,2.0,-3.0,0.5538587737102624,0.3448979288764978,3.6949601976657993
6163,1,1,3,58.0,2,469.0,2.0,,-4.0,0.2189723325345748,0.3245424370988878,1.4687069043155594
6165,1,0,5,51.0,2,346.0,1.0,,4.0,0.2458339683802513,0.2909115835611488,1.5823925319934098
6167,1,1,5,52.0,2,180.0,2.0,,-4.0,0.19538671686733566,0.23591572077316506,1.2590365898695512
6168,1,0,4,74.0,2,82.0,2.0,,4.0,0.10010880660534636,0.10433808501565613,0.5276476285238035
6170,1,0,3,22.0,2,1603.0,1.0,,4.0,0.4824973810543347,0.3970153837404666,3.596790320914473
6173,1,0,13,59.0,2,728.0,2.0,,-7.0,0.26199251525502804,0.2771330232895995,0.6780131920856171
6174,1,1,6,24.0,2,323.0,2.0,,0.0,0.4307013079366581,0.32183789206304303,2.972886044511521
6175,1,0,9,32.0,2,120.0,2.0,,0.0,0.316923834353791,0.24497636330532785,2.0431163515975608
6178,1,0,1,66.0,2,1345.0,2.0,,-3.0,0.1984435118269263,0.4206646073367863,1.561129572794376
6179,1,0,5,57.0,2,1266.0,2.0,,-3.0,0.2759686446552962,0.3491580843077472,1.3255353500801779
6185,1,0,4,66.0,2,256.0,2.0,,0.0,0.1401145793179677,0.2209262671214106,0.5964279101355645
6187,1,0,1,63.0,1,12.0,,3.0,-3.0,0.11447634072832738,0.1398065273382925,1.0127135450193332
6192,1,0,5,34.0,2,316.0,2.0,,12.0,0.353182950938966,0.3216202369255988,2.5591948618420943
6194,1,1,5,63.0,2,127.0,2.0,,-15.0,0.12541906859115134,0.17977516914465486,0.5720896262874923
6196,1,0,6,71.0,2,1231.0,2.0,,0.0,0.1922254985672192,0.2895647521053562,-0.08047838187522105
6197,1,0,19,70.0,2,1112.0,2.0,,0.0,0.20494597419064048,0.23247408219475665,-0.645102614831818
6199,0,0,1,61.0,1,605.0,,3.0,-7.0,0.20154247644815687,0.40377283840005984,1.9569952461944071
6204,1,0,5,40.0,2,1199.0,2.0,,7.0,0.38804312057536383,0.3781977979745736,2.6134153337828723
6205,1,0,9,10.0,2,1012.0,2.0,,7.0,0.5918967773412411,0.31754255187641145,3.5620416887230872
6207,1,0,7,28.0,2,693.0,1.0,,-14.0,0.4617756010558606,0.35031220670395025,3.0602097441807388
6208,1,0,10,49.0,2,530.0,2.0,,-7.0,0.3065106665477437,0.2971437510051938,1.5699340853751031
6212,1,1,6,35.0,2,1335.0,2.0,,0.0,0.4275279559976346,0.3680575419957273,2.7972372348103214
6219,1,0,4,82.0,2,113.0,2.0,,13.0,0.08048026181984831,0.09484076849148584,0.3053903130533239
6222,1,0,6,68.0,2,1269.0,2.0,,26.0,0.20974110395103307,0.3013083569107957,0.19548088427483146
6223,0,0,3,49.0,1,1149.0,,3.0,26.0,0.3155064089922149,0.3991653377791621,2.2885842004404697
6224,1,0,15,52.0,2,974.0,2.0,,-26.0,0.32546014025934805,0.2966536616614537,1.1799934231110811
6226,0,1,2,72.0,1,775.0,,3.0,26.0,0.16788623481711684,0.3370106941610418,0.6530739122740811
6227,1,0,7,58.0,2,688.0,2.0,,26.0,0.2572815349802014,0.31039963684503485,1.1040102700481549
6228,1,1,9,44.0,1,601.0,,3.0,26.0,0.3494901087345449,0.3208465206543889,2.0131438922267395
6229,0,0,7,48.0,1,76.0,,1.0,33.0,0.2434779136214648,0.14882457596106638,1.4159955740998922
6230,0,0,3,68.0,2,1745.0,2.0,,0.0,0.2015650195818656,0.3363933247427052,0.5074876186437223
6231,0,0,1,54.0,1,1646.0,,2.0,0.0,0.2607676891736406,0.4553064618682262,2.4701857229454247
6232,1,0,14,57.0,2,1020.0,2.0,,-14.0,0.28915610830883753,0.2890364108148665,0.7723798959263233
6234,1,0,2,83.0,2,769.0,2.0,,14.0,0.1191352285182852,0.2835298274205338,-0.3243974505812017
6236,1,0,8,79.0,2,277.0,1.0,,17.0,0.09482528300531592,0.15516561440441776,-0.4430885025142519
6241,1,0,7,61.0,2,1603.0,2.0,,20.0,0.2544673709529091,0.3134052786909603,0.6657413992734573
6246,1,0,3,42.0,2,480.0,2.0,,-27.0,0.31934598359108696,0.3694719305391945,2.5591511535386617
6248,1,0,5,72.0,2,116.0,2.0,,-27.0,0.11919039604517295,0.11416588902271525,0.6050330063365785
6250,0,0,2,52.0,1,1717.0,,3.0,0.0,0.2883389641663262,0.41374817517553614,2.1824353947225177
6251,1,0,11,51.0,2,1534.0,2.0,,-7.0,0.33083189009600544,0.3144389070420255,1.3165308954756478
6255,0,0,1,12.0,1,755.0,,3.0,-7.0,0.4748740208472493,0.44413826868816814,4.202506886193674
6256,1,0,4,14.0,1,525.0,,3.0,0.0,0.5125492542812562,0.3589814713189056,3.632690051014924
6257,1,0,3,68.0,2,472.0,2.0,,-7.0,0.16559749044437766,0.28644532577090503,0.7126235896697584
6258,1,0,3,85.0,1,308.0,,2.0,7.0,0.07685526368442143,0.17370316422737744,-0.41318171956502736
6260,1,0,17,87.0,2,126.0,2.0,,-7.0,0.05303578812515256,0.08258008190027176,-0.8029216777032439
6262,1,0,4,75.0,2,61.0,2.0,,7.0,0.09095619064763777,0.09633269185902507,0.4681314406776928
6263,1,0,9,47.0,2,1668.0,1.0,,-7.0,0.3551914687800914,0.3314585162427078,1.7229655885310915
6265,1,0,6,22.0,2,1285.0,2.0,,-1.0,0.5095330051747742,0.359293527296428,3.3712296695844604
6268,1,0,2,5.0,2,368.0,2.0,,2.0,0.5156364325524404,0.3716135680513852,3.8908779814604655
6269,0,0,1,1.0,1,297.0,,2.0,2.0,0.1906760099099832,0.7243557151787936,5.476617551373034
6274,1,0,5,59.0,2,634.0,2.0,,-12.0,0.2411779275105413,0.32036960330372266,1.1999793248124258
6275,1,0,10,52.0,2,507.0,2.0,,-12.0,0.2819087944605541,0.2864530219156816,1.3345679416798697
6276,1,0,4,35.0,1,376.0,,1.0,-12.0,0.3542535514434427,0.3447231321810939,2.6905049174370697
6279,1,1,2,55.0,2,28.0,2.0,,-12.0,0.16331454718212135,0.14962561586174775,1.2258567383016579
6281,1,0,13,65.0,2,1540.0,2.0,,-12.0,0.2347884915826629,0.2663417054716732,-0.0756619240847658
6287,0,0,1,55.0,1,206.0,,1.0,12.0,0.16633584847895047,0.30714724339864025,1.7713385124380985
6290,1,0,2,86.0,2,1143.0,2.0,,-3.0,0.1142909557932121,0.2819310681714585,-0.7457406504562645
6291,1,0,7,54.0,2,970.0,2.0,,-3.0,0.2979978294146002,0.33529165784657056,1.436321911775794
6294,1,0,5,70.0,2,432.0,2.0,,0.0,0.15435011646570002,0.24442506653502125,0.28799384412371576
6295,1,0,7,60.0,1,313.0,,3.0,0.0,0.18824890504879244,0.2367314422430229,0.7896214348925227
6297,1,0,10,75.0,2,86.0,1.0,,-3.0,0.10166649761014908,0.0867083820191219,0.34690045308471873
6308,1,0,3,42.0,2,280.0,2.0,,0.0,0.27743938535892226,0.32279891167912433,2.2518164381602754
6311,1,0,1,42.0,1,1246.0,,3.0,-14.0,0.32541779584492264,0.4773186114577032,3.3068521433567963
6314,1,0,4,56.0,2,778.0,2.0,,11.0,0.26708267179699074,0.3555401183868782,1.597277868387625
6315,1,0,5,70.0,2,514.0,2.0,,-17.0,0.16530331827784833,0.2611670177642233,0.288747601602765
6319,1,0,10,72.0,2,1505.0,2.0,,-24.0,0.18949122813855104,0.2550488381830699,-0.5823265934233719
6321,0,0,1,52.0,2,1255.0,2.0,,24.0,0.2709676179213699,0.4637851988280344,2.6953398298900098
6322,1,0,2,7.0,1,1029.0,,3.0,24.0,0.539941695805088,0.3939544733476565,4.06167572668108
6323,0,0,1,6.0,1,738.0,,1.0,30.0,0.5041573165165326,0.4299600997240837,4.259645093496083
6324,1,0,2,2.0,2,654.0,2.0,,30.0,0.3055480383127242,0.6389990212222199,5.200331188998083
6325,1,0,5,20.0,2,491.0,2.0,,-37.0,0.4809811997262646,0.3510216604429559,3.3708493151642536
6326,0,0,5,19.0,1,80.0,,1.0,30.0,0.4747724890302092,0.200616125934439,2.6615221110008496
6329,1,0,7,96.0,1,1509.0,,3.0,0.0,0.08065788996701634,0.1711071348615128,-2.4695105664973123
6333,1,0,8,20.0,2,459.0,2.0,,6.0,0.4940232316854025,0.323038698228665,3.1862194115276097
6334,1,0,4,50.0,2,295.0,2.0,,-13.0,0.2361370800270305,0.29041818367919503,1.6701036877962725
6344,1,0,11,82.0,2,613.0,2.0,,13.0,0.12142998006534718,0.19127169012729234,-1.1197385832908455
6346,1,0,5,70.0,2,1718.0,2.0,,0.0,0.1952577558248025,0.2982170241694381,-0.016182934210219102
6347,1,0,8,73.0,2,722.0,2.0,,-7.0,0.17108079549012387,0.25197030130363784,-0.2752578170224156
6352,1,0,8,57.0,2,1584.0,2.0,,6.0,0.28313297865641884,0.3178170990357716,0.9588731221449638
6360,1,0,5,85.0,2,1341.0,2.0,,0.0,0.12168835655038962,0.23686103490788799,-1.3171684331126183
6363,1,0,8,46.0,2,420.0,2.0,,-7.0,0.3039312068205635,0.29739200194263604,1.7953678254200802
6365,1,0,4,64.0,2,118.0,2.0,,-7.0,0.15665257202104932,0.13974162696416734,0.9632051120846282
6373,1,0,4,44.0,2,410.0,2.0,,10.0,0.3008831980865125,0.33617610258210257,2.2229202478880716
6374,1,0,11,75.0,2,1700.0,2.0,,0.0,0.17174219724295905,0.2354611180821727,-0.9866530123723154
6379,1,0,16,80.0,2,900.0,1.0,,0.0,0.14433963955974408,0.2001875550706278,-1.364507992378782
6381,0,0,1,65.0,1,643.0,,2.0,7.0,0.18509390032713785,0.394053532684088,1.6659690568553776
6382,1,0,8,49.0,2,465.0,1.0,,7.0,0.2917183419000328,0.2986142687987584,1.6307681449497005
6385,1,0,5,67.0,1,1720.0,,1.0,-17.0,0.2126799052559002,0.3100869129073999,0.2735245755717013
6386,1,0,3,67.0,1,1489.0,,3.0,17.0,0.20812095851206364,0.3444784403849563,0.6801513609830838
6387,1,0,8,59.0,2,1411.0,2.0,,17.0,0.2701279116981512,0.3142669892867133,0.8234552159157305
6389,0,1,1,79.0,1,479.0,,1.0,-23.0,0.11076286381397236,0.2941444770815065,0.4820955283729871
6392,1,0,4,89.0,2,961.0,2.0,,-3.0,0.10325808672045936,0.22777217704004746,-1.3728454579130007
6395,0,1,1,60.0,1,278.0,,2.0,-7.0,0.15882199456211374,0.3162006696001569,1.6160934308976225
6397,1,0,3,48.0,1,1660.0,,1.0,7.0,0.3228998596211633,0.39650981551063297,2.25887062445217
6398,1,0,9,9.0,2,1489.0,2.0,,7.0,0.5901098775956528,0.3635178493594224,4.092957156340097
6400,1,0,7,49.0,1,1121.0,,2.0,-14.0,0.3349837221802377,0.3473897212888163,1.8200222024596155
6401,0,0,5,70.0,2,635.0,2.0,,-14.0,0.1775724237749942,0.27959775959160915,0.2787582456156106
6408,1,1,4,34.0,2,1405.0,1.0,,0.0,0.4207118420980868,0.39160890015454064,3.024932109576264
6410,1,0,5,79.0,2,1139.0,1.0,,-7.0,0.1485872195046978,0.2650995613070801,-0.6932858582008992
6420,1,1,1,62.0,1,973.0,,2.0,-20.0,0.21490252137154373,0.4327423315594727,1.9670760553031388
6421,1,1,4,69.0,2,797.0,2.0,,-26.0,0.19128195169087034,0.3111500238445807,0.4780041961578905
6423,0,0,6,34.0,1,666.0,,3.0,26.0,0.4145821243014917,0.3581150483195982,2.8289983401870926
6424,1,0,3,68.0,2,317.0,2.0,,-33.0,0.1408041662694596,0.2446231536284395,0.6351370963161485
6427,1,0,5,70.0,2,1513.0,2.0,,-6.0,0.19620655984096536,0.3013996318915303,0.04705560375981754
6428,1,0,15,40.0,2,1356.0,1.0,,-6.0,0.4186737808374871,0.31360922800424706,2.0515423661140977
6432,0,0,1,1.0,1,42.0,,2.0,-3.0,0.2559511118571819,0.5692398414306078,4.6738053169711
6435,1,0,6,34.0,1,1393.0,,3.0,-2.0,0.4342923422033592,0.3675448883537485,2.8423485996784867
6437,1,0,10,73.0,2,773.0,2.0,,7.0,0.17514601711889313,0.24439573708993645,-0.42404886500682304
6442,1,1,1,75.0,2,234.0,2.0,,-14.0,0.0923941390915706,0.2322457806442171,0.6196725919252677
6443,1,0,6,59.0,2,1700.0,2.0,,0.0,0.2650041702872952,0.3272543661336357,0.9189828561869372
6445,1,1,6,45.0,2,1287.0,1.0,,-7.0,0.3600435325429435,0.3622723317176303,2.174079229622335
6446,1,0,6,68.0,2,1120.0,2.0,,0.0,0.2089469059741687,0.30142850531635035,0.2385097767550888
6449,1,0,10,59.0,2,746.0,2.0,,-3.0,0.2599229314086601,0.2923267320521464,0.8222454868108782
6452,1,0,4,24.0,2,151.0,1.0,,0.0,0.3677684616468192,0.303825001808144,2.760689435568956
6453,0,1,1,71.0,1,103.0,,2.0,-7.0,0.10968061089652212,0.1511971099346724,0.9462627180958684
6458,1,0,8,73.0,2,1132.0,1.0,,1.0,0.18239653047743445,0.26555504466694463,-0.4209369316749523
6459,1,0,4,35.0,2,1022.0,2.0,,1.0,0.4108725235976151,0.39261721090865065,3.0134266904627656
6461,1,0,8,8.0,2,751.0,2.0,,-1.0,0.5609240211685861,0.38481413224694666,4.174677363988836
6465,1,0,5,70.0,2,206.0,2.0,,5.0,0.11407458599162384,0.1817981054085224,0.2498880023147303
6469,1,0,6,67.0,2,1333.0,2.0,,0.0,0.21577788757341396,0.3046760093952053,0.27229274277932003
6470,1,0,9,52.0,2,1255.0,2.0,,0.0,0.32016287263130744,0.3265544409984639,1.4111353957332184
6471,0,0,1,29.0,2,1164.0,2.0,,0.0,0.39523137830123545,0.4752645144871593,3.861873146550826
6473,1,0,11,50.0,2,411.0,1.0,,-7.0,0.27966764187789,0.2701342862082593,1.368556572744363
6476,1,0,3,30.0,2,63.0,2.0,,7.0,0.3610640119439659,0.204077606950554,2.301547512870957
6483,1,0,16,25.0,2,536.0,1.0,,7.0,0.4942496899179066,0.29591206154068184,2.8095818346984007
6486,0,0,2,64.0,1,120.0,,2.0,14.0,0.11358349113430355,0.20522669192178725,0.8212166280943213
6488,1,1,1,71.0,1,1616.0,,2.0,0.0,0.17411313462357772,0.3957220432846405,1.0259741021377118
6491,1,0,4,68.0,2,1359.0,2.0,,0.0,0.2058220371236548,0.3244934674190306,0.4321847737679037
6499,1,0,1,53.0,2,42.0,2.0,,-15.0,0.1726617597016037,0.18050900792409866,1.493796008141064
6506,1,0,9,19.0,2,900.0,2.0,,-18.0,0.537806325381248,0.3326431897648056,3.33546725793947
6509,1,0,2,73.0,2,1725.0,2.0,,0.0,0.1713651888998216,0.3401391659600183,0.309350579509422
6511,0,0,1,66.0,1,1495.0,,1.0,-7.0,0.1984882127765264,0.41898726584723694,1.5212540640347123
6512,0,0,1,8.0,1,1003.0,,3.0,-7.0,0.5005482935997415,0.4370169715866773,4.266394905624159
6515,1,0,6,58.0,2,142.0,2.0,,-11.0,0.1539247557918226,0.19555341180239272,0.7935403877164461
6516,1,0,11,34.0,2,76.0,2.0,,-11.0,0.3621606567083007,0.16027690004139958,1.932785513654092
6518,1,0,8,88.0,2,1629.0,1.0,,11.0,0.109090232060092,0.19749868831681644,-1.9470374293967032
6523,1,0,10,72.0,1,417.0,,2.0,-11.0,0.14672611089160087,0.20362765972952668,-0.1887523742190272
6524,1,0,7,23.0,2,334.0,2.0,,-11.0,0.44532511299561983,0.3158763984812765,2.977791642569146
6525,1,0,7,10.0,2,244.0,2.0,,-11.0,0.5132517550230121,0.2985280161924358,3.2824653056440223
6528,0,0,1,44.0,1,1625.0,,2.0,0.0,0.3155432030127688,0.47230558484728,3.134738832811732
6529,1,0,11,67.0,2,1204.0,2.0,,-7.0,0.22093439292220368,0.2714267258233887,-0.06689112487585103
6530,1,0,3,22.0,2,1034.0,2.0,,-7.0,0.4785289478323855,0.4001046942019301,3.644133162254161
6536,1,0,3,60.0,2,1739.0,1.0,,-4.0,0.2480319717990608,0.3658468069730305,1.254919016092627
6538,1,0,10,77.0,2,1518.0,2.0,,4.0,0.1614944544112493,0.23474924017209586,-1.0618154601774004
6539,1,0,2,34.0,2,1354.0,2.0,,4.0,0.3958424519657289,0.43444478417634,3.3491061920535015
6540,1,0,10,80.0,2,1006.0,2.0,,7.0,0.1450522690099007,0.22406310888265032,-1.1538319804873454
6541,0,0,1,46.0,1,830.0,,3.0,7.0,0.2954000452122306,0.4663564812148352,3.080444383307147
6542,1,0,4,37.0,2,733.0,2.0,,7.0,0.3869344504270845,0.3844674967407984,2.8753757275087617
6545,1,1,1,82.0,1,378.0,,2.0,-1.0,0.08987262045360984,0.2507095314143877,0.2503342469876801
6547,0,0,1,16.0,1,201.0,,2.0,1.0,0.3903648135058229,0.3944910628977367,3.6189881698208164
6549,1,0,6,77.0,2,1748.0,2.0,,0.0,0.15828474189103006,0.257834817545967,-0.8189803560702364
6550,1,0,2,67.0,2,1406.0,2.0,,-7.0,0.20323246458776387,0.37097085713545597,0.978096359631616
6554,1,0,2,12.0,2,600.0,2.0,,-7.0,0.4996829643908058,0.398664165715504,3.9321141073372647
6555,1,0,2,51.0,2,9.0,2.0,,-6.0,0.17751822220501914,0.15296752356763774,1.3249935261289385
6558,1,0,13,51.0,2,1121.0,1.0,,12.0,0.33300162033483843,0.3078431166394577,1.3181087254170412
6560,1,0,7,30.0,2,731.0,2.0,,-19.0,0.4511742940676359,0.3526409672358504,2.9825778170862747
6561,1,0,4,69.0,2,566.0,2.0,,12.0,0.17441574887090286,0.285564561962173,0.4928849204357912
6565,1,0,1,18.0,1,803.0,,3.0,-3.0,0.4458031066810039,0.4568585584060928,4.118193774769807
6568,1,0,8,13.0,2,499.0,2.0,,0.0,0.5439787179112784,0.3188604224743191,3.4250251801278218
6571,1,0,3,70.0,1,1744.0,,3.0,-3.0,0.19060241930385266,0.3280962848145107,0.3151983981143214
6572,1,0,8,25.0,2,1456.0,1.0,,-3.0,0.5026332719952122,0.34526017644350243,3.1322697973150984
6573,1,0,6,49.0,2,1253.0,2.0,,-4.0,0.3326754277243637,0.3564292269928369,1.8823282492397184
6574,0,0,1,28.0,1,1152.0,,1.0,-4.0,0.4004373269314885,0.4742975957533427,3.893911269502588
6576,1,0,2,29.0,1,900.0,,2.0,3.0,0.41861818414198615,0.4307317553427285,3.57059236283113
6584,1,0,1,66.0,2,1203.0,1.0,,-8.0,0.19789876763452605,0.42118933818657023,1.5944965047811448
6585,1,0,2,31.0,2,1095.0,,,-8.0,0.411122697873118,0.4339162135964024,3.4993031742192167
6592,1,0,3,68.0,2,1736.0,2.0,,-1.0,0.2016083607230874,0.33655087236304765,0.5102508168234929
6598,1,0,8,19.0,2,428.0,2.0,,-5.0,0.4957972464022811,0.31950367872037183,3.1927255292464936
6601,1,0,3,68.0,2,1454.0,2.0,,-4.0,0.2026189367729337,0.3409323353258182,0.5955679866771628
6603,0,0,1,39.0,1,1023.0,,2.0,-3.0,0.3391412263208532,0.4778922058931117,3.4700467545630493
6611,1,0,3,26.0,2,1552.0,2.0,,1.0,0.4591601108423625,0.40249148394609496,3.4713633202318888
6615,1,0,1,54.0,1,732.0,,1.0,10.0,0.2472480865230375,0.4429470943141749,2.5368535400233743
6617,1,0,5,70.0,2,471.0,2.0,,-13.0,0.15983354009326645,0.2528308865880398,0.28918674915534104
6618,1,1,6,38.0,2,302.0,2.0,,-13.0,0.3258675772883418,0.3025227999372503,2.2460593121703702
6619,1,0,4,69.0,2,137.0,2.0,,7.0,0.10257910235330688,0.16998859950445205,0.3508073551948645
6625,1,0,5,53.0,2,392.0,2.0,,-3.0,0.2432050191971762,0.2964544856269841,1.5010935648673132
6626,1,0,12,77.0,2,112.0,2.0,,1.0,0.10193724147953452,0.08583652916078471,0.2740050462793676
6630,1,0,4,42.0,2,1660.0,2.0,,-2.0,0.3692503896293774,0.3861772219690655,2.51729183883573
6631,1,1,10,50.0,1,1368.0,,3.0,-1.0,0.3365890527620959,0.3236644917776687,1.4937495201032998
6634,1,0,4,70.0,2,487.0,2.0,,5.0,0.1601640277666584,0.2669089882202517,0.40751044135459336
6637,1,0,1,68.0,2,89.0,2.0,,5.0,0.11759628441615858,0.15482303839122274,1.0284221134762672
6641,1,0,2,38.0,2,953.0,2.0,,-13.0,0.3672961422084872,0.4336962624753617,3.1843743861288214
6648,1,0,2,44.0,1,1486.0,,2.0,-16.0,0.3366377130088566,0.4296396710529827,2.7907871872172825
6651,1,0,10,39.0,2,1088.0,2.0,,-13.0,0.4134343220636814,0.3380387580661177,2.3524912232915685
6652,1,0,5,70.0,2,929.0,2.0,,6.0,0.19255621609747245,0.30069284289439063,0.21828622915670315
6655,1,1,5,21.0,1,129.0,,2.0,-15.0,0.3879529426736025,0.29048430151390114,2.7641553619077617
6658,1,0,5,10.0,1,1371.0,,3.0,0.0,0.570048562419603,0.3477137464860766,3.7240852289253534
6660,1,0,9,10.0,2,897.0,2.0,,-7.0,0.5895772482568283,0.3173232883241425,3.5599330361649915
6661,1,0,4,74.0,2,331.0,2.0,,3.0,0.11930424000841455,0.2124307301630909,0.11598816160276115
6672,1,0,5,39.0,2,284.0,2.0,,-27.0,0.3097710591243832,0.3050329186313453,2.2278360742017167
6673,1,0,10,75.0,2,1756.0,2.0,,0.0,0.17101991747523493,0.23941782752530136,-0.9465446525145882
6678,1,0,5,65.0,2,1012.0,2.0,,-7.0,0.2233954193287418,0.3221472066595069,0.6617968589509884
6681,1,0,1,7.0,1,372.0,,2.0,7.0,0.4734457548851548,0.41430386840469424,4.070405605961044
6688,0,0,1,82.0,1,1173.0,,2.0,4.0,0.1263882057656041,0.3447745980993487,0.10663369956074442
6689,1,0,9,80.0,2,1035.0,2.0,,4.0,0.14509428314628486,0.2295736288007793,-1.1048944721833902
6690,1,0,4,17.0,2,42.0,2.0,,-7.0,0.4642145413160561,0.20066259809198272,2.6513249444318983
6692,1,0,6,46.0,2,1539.0,2.0,,0.0,0.3533784798596005,0.3585544401450252,2.0494012406885465
6694,1,0,3,66.0,2,1005.0,2.0,,-3.0,0.21119674027159,0.34892619533419683,0.8987138512129693
6695,1,0,4,90.0,2,843.0,2.0,,3.0,0.0974094119696931,0.21894432618740628,-1.3846793999994726
6696,1,0,4,44.0,2,687.0,2.0,,3.0,0.3379665560564439,0.3746776153592625,2.445993949878857
6697,1,0,8,63.0,2,152.0,2.0,,3.0,0.1347063490720997,0.17272652551713724,0.43708546683054894
6698,1,0,4,49.0,2,82.0,2.0,,3.0,0.23209669141102424,0.1643552297246287,1.5012026687034568
6702,1,0,1,66.0,2,1087.0,2.0,,9.0,0.19684830231729727,0.4203232833165199,1.6164042938700651
6706,1,0,6,64.0,2,700.0,2.0,,15.0,0.2186045524999128,0.29997352511881703,0.6833209225079984
6710,1,0,3,34.0,2,1551.0,2.0,,0.0,0.4109417945225165,0.4076608413100989,3.133861623851663
6713,1,0,4,69.0,2,1247.0,2.0,,-9.0,0.2000086552510704,0.32125191965642025,0.3694228991848423
6715,0,0,2,45.0,1,969.0,,1.0,-9.0,0.3259449397692118,0.4286646975844217,2.790900590086397
6717,1,0,6,53.0,2,628.0,2.0,,9.0,0.2820464972451764,0.3271655900362236,1.574030746135002
6720,1,0,4,70.0,2,120.0,2.0,,6.0,0.09554668758473732,0.16087868707244726,0.29349763878447443
6722,0,0,1,59.0,1,1321.0,,3.0,27.0,0.2340325860158176,0.4455218380503165,2.159439124638215
6724,1,0,13,41.0,1,935.0,,2.0,-27.0,0.4025294949362225,0.32048764286265563,2.1047408250096766
6727,0,0,1,83.0,1,672.0,,1.0,-27.0,0.11086419653968824,0.3114987999327594,0.15254797555300034
6728,1,0,10,58.0,1,265.0,,3.0,20.0,0.1917373695412302,0.21522572339836066,0.7350251342599473
6729,0,0,1,39.0,1,128.0,,1.0,20.0,0.22898614812580034,0.3308988664649651,2.448778430878217
6731,1,0,2,8.0,2,1563.0,2.0,,0.0,0.5390386662504275,0.3934666833956501,4.023433351253215
6732,0,0,1,58.0,1,1473.0,,2.0,-7.0,0.2395146904612553,0.4470469885809297,2.2045880537310687
6733,1,0,5,51.0,2,1381.0,2.0,,-7.0,0.3156030618331254,0.3627545381771001,1.8013412307407828
6734,1,0,9,37.0,2,1271.0,2.0,,-7.0,0.4261540062124596,0.34454193294690105,2.503610173519617
6735,1,0,5,5.0,2,1102.0,2.0,,-7.0,0.4827489969996013,0.4709895067398494,4.538576221407842
6736,1,1,5,52.0,2,989.0,1.0,,0.0,0.30528540941479804,0.36031479074166745,1.7893475865277098
6737,1,0,33,52.0,2,579.0,2.0,,3.0,0.30986723954823525,0.23718175390208426,0.7893071316471394
6738,0,0,2,53.0,2,332.0,2.0,,-17.0,0.2157751146013207,0.326943534795178,1.8462365490981083
6740,1,1,6,71.0,2,65.0,1.0,,-17.0,0.10890374176764864,0.09853537114822022,0.5335840245271062
6741,1,0,2,67.0,2,1728.0,2.0,,17.0,0.20239238510292668,0.3661053772110672,0.8831396127592159
